Date,Open,High,Low,Close,Adj Close,Volume
22-11-2022,148.130005,150.419998,146.929993,150.179993,149.345215,51804100
23-11-2022,149.449997,151.830002,149.339996,151.070007,150.230301,58301400
25-11-2022,148.309998,148.880005,147.119995,148.110001,147.286728,35195900
28-11-2022,145.139999,146.639999,143.380005,144.220001,143.41835,69246000
29-11-2022,144.289993,144.809998,140.350006,141.169998,140.385315,83763800
30-11-2022,141.399994,148.720001,140.550003,148.029999,147.207169,111380900
01-12-2022,148.210007,149.130005,146.610001,148.309998,147.485626,71250400
02-12-2022,145.960007,148,145.649994,147.809998,146.988403,65447400
05-12-2022,147.770004,150.919998,145.770004,146.630005,145.814972,68826400
06-12-2022,147.070007,147.300003,141.919998,142.910004,142.115646,64727200
07-12-2022,142.190002,143.369995,140,140.940002,140.156601,69721100
08-12-2022,142.360001,143.520004,141.100006,142.649994,141.857101,62128300
09-12-2022,142.339996,145.570007,140.899994,142.160004,141.369827,76097000
12-12-2022,142.699997,144.5,141.059998,144.490005,143.686859,70462700
13-12-2022,149.5,149.970001,144.240005,145.470001,144.661423,93886200
14-12-2022,145.350006,146.660004,141.160004,143.210007,142.413971,82291200
15-12-2022,141.110001,141.800003,136.029999,136.5,135.741272,98931900
16-12-2022,136.690002,137.649994,133.729996,134.509995,133.762329,160156900
19-12-2022,135.110001,135.199997,131.320007,132.369995,131.634232,79592600
20-12-2022,131.389999,133.25,129.889999,132.300003,131.564636,77432800
21-12-2022,132.979996,136.809998,132.75,135.449997,134.697098,85928000
22-12-2022,134.350006,134.559998,130.300003,132.229996,131.49501,77852100
23-12-2022,130.919998,132.419998,129.639999,131.860001,131.12706,63814900
27-12-2022,131.380005,131.410004,128.720001,130.029999,129.307236,69007800
28-12-2022,129.669998,131.029999,125.870003,126.040001,125.339417,85438400
29-12-2022,127.989998,130.479996,127.730003,129.610001,128.889572,75703700
30-12-2022,128.410004,129.949997,127.43,129.929993,129.207794,77034200
03-01-2023,130.279999,130.899994,124.169998,125.07,124.374802,112117500
04-01-2023,126.889999,128.660004,125.080002,126.360001,125.657639,89113600
05-01-2023,127.129997,127.769997,124.760002,125.019997,124.325073,80962700
06-01-2023,126.010002,130.289993,124.889999,129.619995,128.899506,87754700
09-01-2023,130.470001,133.410004,129.889999,130.149994,129.426575,70790800
10-01-2023,130.259995,131.259995,128.119995,130.729996,130.003342,63896200
11-01-2023,131.25,133.509995,130.460007,133.490005,132.748016,69458900
12-01-2023,133.880005,134.259995,131.440002,133.410004,132.668457,71379600
13-01-2023,132.029999,134.919998,131.660004,134.759995,134.010941,57809700
17-01-2023,134.830002,137.289993,134.130005,135.940002,135.184387,63646600
18-01-2023,136.820007,138.610001,135.029999,135.210007,134.45845,69672800
19-01-2023,134.080002,136.25,133.770004,135.270004,134.518112,58280400
20-01-2023,135.279999,138.020004,134.220001,137.869995,137.103653,80223600
23-01-2023,138.119995,143.320007,137.899994,141.110001,140.325653,81760300
24-01-2023,140.309998,143.160004,140.300003,142.529999,141.737762,66435100
25-01-2023,140.889999,142.429993,138.809998,141.860001,141.071487,65799300
26-01-2023,143.169998,144.25,141.899994,143.960007,143.159821,54105100
